sn,np,coating,bacteria,mdr,strain,np_synthesis,method,mic_np_µg_ml,concentration,zoi_np_mm,np_size_min_nm,np_size_max_nm,np_size_avg_nm,shape,time_set_hours,zeta_potential_mV,solvent_for_extract,temperature_for_extract_C,duration_preparing_extract_min,precursor_of_np,concentration_of_precursor_mM,hydrodynamic_diameter_nm,ph_during_synthesis,reference,doi,article_list,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
11,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,128,,,5.34,70,26.06,spherical,24,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,FALSE,TRUE,hybrid,22_lambio0680.pdf,1
12,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,128,,,5.34,70,26.06,spherical,24,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,FALSE,TRUE,hybrid,22_lambio0680.pdf,1
13,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,8,,,5.34,70,26.06,spherical,24,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,FALSE,TRUE,hybrid,22_lambio0680.pdf,1
14,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,5.34,70,26.06,spherical,24,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,FALSE,TRUE,hybrid,22_lambio0680.pdf,1
15,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,128,,,5.34,70,26.06,spherical,24,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,FALSE,TRUE,hybrid,22_lambio0680.pdf,1
16,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,5.34,70,26.06,spherical,24,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,FALSE,TRUE,hybrid,22_lambio0680.pdf,1
17,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,5.34,70,26.06,spherical,24,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,FALSE,TRUE,hybrid,22_lambio0680.pdf,1
18,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,5.34,70,26.06,spherical,24,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,FALSE,TRUE,hybrid,22_lambio0680.pdf,1
19,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,64,,,5.34,70,26.06,spherical,24,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,FALSE,TRUE,hybrid,22_lambio0680.pdf,1
20,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,4,,,5.34,70,26.06,spherical,24,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,FALSE,TRUE,hybrid,22_lambio0680.pdf,1
21,Ag,0,Bacillus subtilis,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,8.1,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
22,Ag,0,Bacillus subtilis,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,9.8,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
23,Ag,0,Micrococcus luteus,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,6.3,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
24,Ag,0,Micrococcus luteus,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,7.8,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
25,Ag,0,Klebsiella pneumoniae,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,8.1,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
26,Ag,0,Klebsiella pneumoniae,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,9.8,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
27,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,6.3,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
28,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,8.1,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
29,Ag,0,Escherichia coli,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,4,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
30,Ag,0,Escherichia coli,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,6.3,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
31,Ag,0,Staphylococcus aureus,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MIC,4,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
32,Ag,0,Staphylococcus aureus,0,,green_synthesis using aqueous Cassiarox burghii leaf extract,MBC,6.3,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
33,Ag,0,Bacillus subtilis,0,,green_synthesis,MIC,8.1,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
34,Ag,0,Bacillus subtilis,0,,green_synthesis,MBC,9.8,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
35,Ag,0,Escherichia coli,0,,"purchased from us research nanomaterials, inc.Р Р†Р’",MIC,64,,,15,25,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
36,Ag,0,Escherichia coli,0,,"purchased from us research nanomaterials, inc.Р Р†Р’",MIC,64,,,15,25,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
37,Ag,0,Micrococcus luteus,0,,green_synthesis,MIC,6.3,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
38,Ag,0,Micrococcus luteus,0,,green_synthesis,MBC,7.8,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
39,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MIC,6.3,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
40,Ag,0,Pseudomonas aeruginosa,0,,green_synthesis,MBC,8.1,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
41,Ag,0,Staphylococcus aureus,0,,green_synthesis,MIC,4,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
42,Ag,0,Staphylococcus aureus,0,,green_synthesis,MBC,6.3,,,10,30,20,spherical,24,,,,,,,,,https://doi.org/10.1007/s10876-020-01759-x,10.1007/s10876-020-01759-x,17,Journal of Cluster Science,Springer Science and Business Media LLC,2020,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,FALSE,FALSE,closed,17_10.1007@s10876-020-01759-x.pdf,0
43,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
44,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
45,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
46,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
47,Ag,0,Bacillus subtilis,0,,chemical_synthesis,MIC,11,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
48,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
49,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
50,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
51,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
52,Ag,0,Escherichia coli,0,,chemical_synthesis,MIC,10,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
53,Ag,0,Salmonella typhimurium,0,ATCC SC14028,chemical_synthesis,MIC,10,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
54,Ag,0,Salmonella typhimurium,0,ATCC SC14028,chemical_synthesis,MIC,10,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
55,Ag,0,Salmonella typhimurium,0,ATCC SC14028,chemical_synthesis,MIC,10,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
56,Ag,0,Salmonella typhimurium,0,ATCC SC14028,chemical_synthesis,MIC,10,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
57,Ag,0,Salmonella typhimurium,0,ATCC SC14028,chemical_synthesis,MIC,10,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
58,Ag,0,Staphylococcus aureus,0,clinical isolate,chemical_synthesis,MIC,12,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
59,Ag,0,Staphylococcus aureus,0,clinical isolate,chemical_synthesis,MIC,12,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
60,Ag,0,Staphylococcus aureus,0,clinical isolate,chemical_synthesis,MIC,12,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
61,Ag,0,Staphylococcus aureus,0,clinical isolate,chemical_synthesis,MIC,12,,,20,50,35,spherical,24,-18,,,,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,10.1371/journal.pone.0224904,28,PLOS ONE,Public Library of Science (PLoS),2019,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,TRUE,TRUE,gold,28_10.1371@journal.pone.0224904.pdf,1
