sn,material,shape,coat_functional_group,synthesis_method,surface_charge,size_in_medium_nm,zeta_in_medium_mv,no_of_cells_cells_well,human_animal,cell_source,cell_tissue,cell_morphology,cell_age,time_hr,concentration,test,test_indicator,viability_%,doi,article_list,core_nm,hydrodynamic_nm,potential_mv,cell_type,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
10,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,24,1.95,MTT,TetrazoliumSalt,105.21,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
11,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,24,3.9,MTT,TetrazoliumSalt,120.85,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
12,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,24,7.8,MTT,TetrazoliumSalt,117.25,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
13,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,24,15.6,MTT,TetrazoliumSalt,106.06,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
14,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,24,31.2,MTT,TetrazoliumSalt,84.93,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
15,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,24,62.5,MTT,TetrazoliumSalt,96.127,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
16,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,24,125,MTT,TetrazoliumSalt,94.225,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
17,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,24,250,MTT,TetrazoliumSalt,103.94,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
18,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,24,500,MTT,TetrazoliumSalt,79.014,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
19,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000,A,Rat,,,,24,1000,MTT,TetrazoliumSalt,63.803,10.3109/15376516.2015.1070229,1,,386.9,-35.9,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
20,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,12,1.95,MTT,TetrazoliumSalt,97.463,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
21,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,12,3.9,MTT,TetrazoliumSalt,95.486,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
22,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,12,7.8,MTT,TetrazoliumSalt,89.951,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
23,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,12,15.6,MTT,TetrazoliumSalt,105.96,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
24,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,12,31.2,MTT,TetrazoliumSalt,95.091,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
25,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,12,62.5,MTT,TetrazoliumSalt,96.474,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
26,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,12,125,MTT,TetrazoliumSalt,94.3,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
27,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,12,250,MTT,TetrazoliumSalt,72.356,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
28,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,12,500,MTT,TetrazoliumSalt,70.774,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
29,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,12,1000,MTT,TetrazoliumSalt,71.763,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
30,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,24,1.95,MTT,TetrazoliumSalt,103.52,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
31,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,24,3.9,MTT,TetrazoliumSalt,96.761,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
32,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,24,7.8,MTT,TetrazoliumSalt,109.86,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
33,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,24,15.6,MTT,TetrazoliumSalt,122.75,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
34,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,24,31.2,MTT,TetrazoliumSalt,104.58,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
35,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,24,62.5,MTT,TetrazoliumSalt,118.73,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
36,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,24,125,MTT,TetrazoliumSalt,94.648,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
37,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,24,250,MTT,TetrazoliumSalt,103.1,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
38,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,24,500,MTT,TetrazoliumSalt,105.63,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
39,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000,A,Rat,,,,24,1000,MTT,TetrazoliumSalt,80.493,10.3109/15376516.2015.1070229,1,,375.4,-26.8,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
40,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,12,1.95,MTT,TetrazoliumSalt,120,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
41,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,12,3.9,MTT,TetrazoliumSalt,119.41,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
42,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,12,7.8,MTT,TetrazoliumSalt,109.52,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
43,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,12,15.6,MTT,TetrazoliumSalt,111.3,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
44,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,12,31.2,MTT,TetrazoliumSalt,114.86,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
45,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,12,62.5,MTT,TetrazoliumSalt,116.05,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
46,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,12,125,MTT,TetrazoliumSalt,106.95,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
47,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,12,250,MTT,TetrazoliumSalt,73.74,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
48,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,12,500,MTT,TetrazoliumSalt,93.904,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
49,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,12,1000,MTT,TetrazoliumSalt,76.31,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
50,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,24,1.95,MTT,TetrazoliumSalt,104.15,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
51,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,24,3.9,MTT,TetrazoliumSalt,102.89,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
52,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,24,7.8,MTT,TetrazoliumSalt,102.04,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
53,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,24,15.6,MTT,TetrazoliumSalt,94.225,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
54,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,24,31.2,MTT,TetrazoliumSalt,90.423,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
55,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,24,62.5,MTT,TetrazoliumSalt,91.056,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
56,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,24,125,MTT,TetrazoliumSalt,100.77,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
57,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,24,250,MTT,TetrazoliumSalt,96.761,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
58,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,24,500,MTT,TetrazoliumSalt,103.94,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
59,SiO2,Sphere,NH2,Precipitation,Positive,142.11,,5000,A,Rat,,,,24,1000,MTT,TetrazoliumSalt,85.775,10.3109/15376516.2015.1070229,1,,437,21.7,PC12,Toxicology Mechanisms and Methods,Taylor & Francis,2015,Effect of mesoporous silica nanoparticles on cell viability and markers of oxidative stress,FALSE,FASLE,hybrid,1_10.3109@15376516.2015.1070229.pdf,0
60,SiO2,Sphere,,Commercial,Negative,10,,2600,A,Mouse,,,,24,1,CellTiterBlue,AlamarBlue,107.59,10.5402/2012/454072,2,,10,-27,RAW264.7,ISRN Nanotechnology,Hindawi Limited,2012,"Evaluation of Viability and Proliferation Profiles on Macrophages Treated with Silica Nanoparticles <i>In Vitro</i> via Plate-Based, Flow Cytometry, and Coulter Counter Assays",TRUE,TRUE,gold,2_International Scholarly Research Notices - 2012 - Bancos - Evaluation of Viability and Proliferation Profiles on.pdf,1
61,SiO2,Sphere,,Commercial,Negative,10,,2600,A,Mouse,,,,24,10,CellTiterBlue,AlamarBlue,100.81,10.5402/2012/454072,2,,10,-27,RAW264.7,ISRN Nanotechnology,Hindawi Limited,2012,"Evaluation of Viability and Proliferation Profiles on Macrophages Treated with Silica Nanoparticles <i>In Vitro</i> via Plate-Based, Flow Cytometry, and Coulter Counter Assays",TRUE,TRUE,gold,2_International Scholarly Research Notices - 2012 - Bancos - Evaluation of Viability and Proliferation Profiles on.pdf,1
62,SiO2,Sphere,,Commercial,Negative,10,,2600,A,Mouse,,,,24,100,CellTiterBlue,AlamarBlue,70.11,10.5402/2012/454072,2,,10,-27,RAW264.7,ISRN Nanotechnology,Hindawi Limited,2012,"Evaluation of Viability and Proliferation Profiles on Macrophages Treated with Silica Nanoparticles <i>In Vitro</i> via Plate-Based, Flow Cytometry, and Coulter Counter Assays",TRUE,TRUE,gold,2_International Scholarly Research Notices - 2012 - Bancos - Evaluation of Viability and Proliferation Profiles on.pdf,1
63,SiO2,Sphere,,Commercial,Negative,10,,2600,A,Mouse,,,,24,1000,CellTiterBlue,AlamarBlue,22.617,10.5402/2012/454072,2,,10,-27,RAW264.7,ISRN Nanotechnology,Hindawi Limited,2012,"Evaluation of Viability and Proliferation Profiles on Macrophages Treated with Silica Nanoparticles <i>In Vitro</i> via Plate-Based, Flow Cytometry, and Coulter Counter Assays",TRUE,TRUE,gold,2_International Scholarly Research Notices - 2012 - Bancos - Evaluation of Viability and Proliferation Profiles on.pdf,1
64,SiO2,,,Commercial,,10,,,A,Mouse,,,,24,1,XTT,TetrazoliumSalt,123.42,10.5402/2012/454072,2,,10,-27,RAW264.7,ISRN Nanotechnology,Hindawi Limited,2012,"Evaluation of Viability and Proliferation Profiles on Macrophages Treated with Silica Nanoparticles <i>In Vitro</i> via Plate-Based, Flow Cytometry, and Coulter Counter Assays",TRUE,TRUE,gold,2_International Scholarly Research Notices - 2012 - Bancos - Evaluation of Viability and Proliferation Profiles on.pdf,1
65,SiO2,Sphere,,Commercial,Negative,10,,2600,A,Mouse,,,,24,10,XTT,TetrazoliumSalt,114.38,10.5402/2012/454072,2,,10,-27,RAW264.7,ISRN Nanotechnology,Hindawi Limited,2012,"Evaluation of Viability and Proliferation Profiles on Macrophages Treated with Silica Nanoparticles <i>In Vitro</i> via Plate-Based, Flow Cytometry, and Coulter Counter Assays",TRUE,TRUE,gold,2_International Scholarly Research Notices - 2012 - Bancos - Evaluation of Viability and Proliferation Profiles on.pdf,1
