pdf,smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_name_unified,bacteria_info,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,column_prop,line_prop,page_scaffold,origin_scaffold,section_scaffold,subsection_scaffold,page_residue,origin_residue,section_residue
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(CCCO)c3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,11,pMIC,'=',"4,99",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(CCCNS(C)(=O)=O)c3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,12,pMIC,'=',"4,77",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C(C)=O)c3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,13,pMIC,'=',"5,27",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C(C)O)c3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,14,pMIC,'=',"4,37",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C(C)=NO)c3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,15,pMIC,'=',"5,29",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,3,table 1,,,,,2,figure 1,,,3,table 1,
08927020601188528,CON=C(C)c1ccn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)c1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,16,pMIC,'=',"5,01",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cccn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,17,pMIC,'=',"5,22",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CCOC(=O)c1cnn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)c1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,18,pMIC,'=',"5,01",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C(N)=O)cn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,19,pMIC,'=',"4,37",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CNC(=O)c1cnn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)c1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,20,pMIC,'=',"4,39",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C#N)cn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,21,pMIC,'=',"5,86",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(I)cn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,22,pMIC,'=',"5,36",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(NC(=O)OC(C)(C)C)cn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,23,pMIC,'=',"4,75",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(NC(C)=O)cn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,24,pMIC,'=',"4,41",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C#C[Si](C)(C)C)cn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,25,pMIC,'=',"5,03",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,C#Cc1cnn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)c1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,26,pMIC,'=',"5,25",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C(F)(F)F)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,27,pMIC,'=',5,mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(NC(=O)OC(C)(C)C)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,28,pMIC,'=',"5,05",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(N)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,29,pMIC,'=',"5,24",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,4,table 1,,,,,2,figure 1,,,4,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(NC(=O)CO)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,30,pMIC,'=',"4,41",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(NC(C)=O)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,31,pMIC,'=',"4,71",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(NS(C)(=O)=O)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,32,pMIC,'=',"4,43",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C#N)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,33,pMIC,'=',"5,56",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(C)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,34,pMIC,'=',"4,94",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(=O)[nH]3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,35,pMIC,'=',"4,64",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccc(OC(C)=O)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,36,pMIC,'=',"4,71",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,COc1ccn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)n1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,37,pMIC,'=',"4,96",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccnc3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,38,pMIC,'=',"5,22",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cnc(C#N)c3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,39,pMIC,'=',"4,95",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ccnn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,40,pMIC,'=',"5,53",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C(C)=O)nn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,41,pMIC,'=',"5,58",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C(C)=NO)nn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,42,pMIC,'=',"4,99",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,COC(=O)c1cn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)nn1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,43,pMIC,'=',"4,99",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C#N)nn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,44,pMIC,'=',"5,56",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,5,table 1,,,,,2,figure 1,,,5,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C=O)nn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,45,pMIC,'=',"5,86",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C(N)=O)nn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,46,pMIC,'=',"4,98",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CNC(=O)c1cn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)nn1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,47,pMIC,'=',"4,69",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(CO)nn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,48,pMIC,'=',"4,96",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C=NO)nn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,49,pMIC,'=',"4,68",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CON=Cc1cn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)nn1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,50,pMIC,'=',"4,99",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3nccn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,51,pMIC,'=',"4,92",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3ncc(C#N)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,52,pMIC,'=',"5,86",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cncn3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,53,pMIC,'=',"4,92",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,COC(=O)c1ncn(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)n1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,54,pMIC,'=',"4,39",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cnc(CO)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,55,pMIC,'=',"4,36",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cnc(C=O)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,56,pMIC,'=',"4,96",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cnc(C(N)=O)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,57,pMIC,'=',"4,37",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cnc(C#N)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,58,pMIC,'=',"4,96",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,6,table 1,,,,,2,figure 1,,,6,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cnc(C)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,59,pMIC,'=',"4,64",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,7,table 1,,,,,2,figure 1,,,7,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cnc(NC(=O)Cc4ccccc4)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,60,pMIC,'=',"4,47",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,7,table 1,,,,,2,figure 1,,,7,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cnc(N)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,61,pMIC,'=',"4,64",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,7,table 1,,,,,2,figure 1,,,7,table 1,
08927020601188528,CC(=O)NC[C@H]1CN(c2ccc(-n3cnc(Cl)n3)c(F)c2)C(=O)O1,10.1080/08927020601188528,QSAR study of oxazolidinone antibacterial agents using artificial neural networks,Informa UK Limited,2007,0,62,pMIC,'=',"4,97",mol/l,methicillin-susceptible S. aureus,Staphylococcus aureus,Methicillin susceptible,2,text,Materials and methods,Data set and descriptor calculation,7,table 1,,,,,2,figure 1,,,7,table 1,
